word,count
can,3073206791
well,1326129933
man,963711765
system,947738078
court,888560989
service,783846924
house,777657443
school,716368915
university,672956180
study,568813395
area,567130255
office,566542965
table,552234384
board,551724871
hand,550088330
head,462460630
property,461511751
book,449908182
light,446696683
body,445689827
church,375843760
secretary,358899892
street,356188739
building,355580125
room,355555990
bank,351584674
surface,339646230
face,338930564
king,331848418
college,321377473
ground,312262443
oil,302055620
art,301832475
capital,297129355
road,290826005
plant,287375407
heart,276161201
stock,273085676
equipment,270542582
fire,262313086
saw,262229079
journal,246084150
library,239210801
staff,218395656
cut,211122212
cross,207663739
lead,206741946
door,202979900
stage,196693102
iron,196024782
hospital,193759221
box,188304079
exchange,188042275
station,187944417
cell,186616180
car,184000760
steel,182091200
upper,180119144
scale,179657063
island,179453415
engineering,177291336
connection,175007263
net,172819461
wall,172582282
farm,172389576
key,165054852
china,164931700
round,163163907
machine,160405139
stand,159325651
computer,157672785
wood,157525215
access,155960696
spring,155794614
cover,155152230
positive,152845368
park,149581214
bed,147184249
assembly,146268005
eye,143991255
bar,142546904
floor,141972275
glass,141493546
blue,141209105
motor,140676472
square,139191354
constitution,138960740
housing,138778292
japan,137205146
foot,136490371
picture,135621422
governor,135179270
file,135149599
stone,133785088
royal,132929353
branch,131253507
railway,130997054
stop,130640441
ship,130607800
tree,130249753
foundation,129494481
output,127474739
drug,125619923
location,124980207
die,124889782
plate,123968618
mine,123808371
negative,122963547
film,122609193
circuit,119271078
network,118163914
opening,117302385
memory,117257400
mouth,117042343
piece,116571923
passage,116354773
bottom,115921196
telephone,115480426
element,114748995
game,114202285
institution,113996966
port,113619873
yield,110870392
proof,110714258
guide,109998815
medicine,109641313
skin,109127185
establishment,107587289
bridge,107559028
van,107155728
mail,106373000
horse,105756944
radio,104356790
club,101703664
arm,100872145
edge,100546997
quarter,100177415
bit,99854293
cotton,99609729
bay,98892391
engine,98885828
item,97688720
window,97602729
safe,97306445
queen,97031444
suit,96534066
map,96480670
vehicle,96304541
museum,95748961
channel,95515575
parallel,94391457
bearing,93977068
release,93958232
train,93561857
instrument,92847724
wave,91681377
path,91471803
machinery,91290960
carbon,90847714
document,90137347
scene,90124942
garden,90005275
band,89995320
cast,89117915
chamber,88988460
oxford,88986604
chair,88607727
vessel,87815414
drawing,87384484
aircraft,87231337
background,86711689
device,86640807
ministry,85941869
highway,85681849
tube,84866809
avenue,84817613
column,84382172
camp,84278247
plane,83441521
hotel,82874574
component,82753470
sheet,82486903
uniform,82192947
treasury,82088528
draw,82071694
spoke,81949213
walk,81876378
frame,81816991
circle,79808249
mechanism,79668544
ring,79577517
creation,79483372
angle,79084781
flat,77856782
corner,77759296
watch,76770311
ray,76630008
seat,76528554
track,76507760
mill,76477220
goal,76334147
appointment,76265650
crown,76131106
variation,75648248
carrier,75452380
core,75400841
pipe,75378246
card,75371806
guard,75302001
target,75171106
wire,75096665
flight,75034666
boundary,74672419
input,74585726
facility,74456616
curve,74384425
television,73791544
chain,73629972
spot,73135237
apparatus,72640936
shop,72439829
bishop,72122356
shot,71570567
star,70953908
turning,70944609
sequence,70533290
boat,70230463
drop,69961843
novel,69784253
tool,68914122
transmission,68512389
canal,68297130
ball,67133711
magazine,67116438
academy,67001739
miller,66846885
sharp,66681788
register,66559926
residence,66360152
